# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
 vs. 	teen vs. teen	0.614376755283	0.539020607176	1	0.510	1.000
 vs. 	20s vs. 20s	2.52348641722	0.0116276200657	1	0.013	1.000
 vs. 	60s vs. 60s	-1.19573442116	0.23180424143	1	0.228	1.000
 vs. 	30s vs. 30s	9.82457842328	9.06787346471e-23	1.34657920951e-19	0.001	1.000
 vs. 	70+ vs. 70+	0.105869780257	0.915687459667	1	0.923	1.000
 vs. 	40s vs. 40s	6.14971233322	7.79422698714e-10	1.15744270759e-06	0.001	1.000
 vs. 	child vs. child	16.6435773856	2.23833544004e-60	3.32392812845e-57	0.001	1.000
 vs. 	baby vs. baby	-23.27537514	1.91631854896e-112	2.8457330452e-109	0.001	1.000
 vs. 	50s vs. 50s	0.940041956191	0.347198319634	1	0.365	1.000
 vs. 	 vs. teen	-1.35936681256	0.174104724488	1	0.186	1.000
 vs. 	 vs. 20s	-0.479545794167	0.631557638209	1	0.617	1.000
 vs. 	 vs. 60s	-2.96328081677	0.0030464857316	1	0.003	1.000
 vs. 	 vs. 30s	4.15156164078	3.31144244191e-05	0.0491749202624	0.001	1.000
 vs. 	 vs. 70+	-3.04392633883	0.00234045313043	1	0.003	1.000
 vs. 	 vs. 40s	2.01854994369	0.0435428610451	1	0.040	1.000
 vs. 	 vs. child	3.71490718893	0.000204949274893	0.304349673216	0.001	1.000
 vs. 	 vs. baby	-16.2297975675	4.88140266514e-58	7.24888295773e-55	0.001	1.000
 vs. 	 vs. 50s	-1.26848733278	0.204633401071	1	0.193	1.000
 vs. 	teen vs. 20s	1.53525857671	0.124761130045	1	0.112	1.000
