# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
20s vs. 20s	30s vs. 30s	0.921644070964	0.356729111181	1	0.359	1.000
20s vs. 20s	40s vs. 40s	0.450448329453	0.652393328704	1	0.635	1.000
20s vs. 20s	50s vs. 50s	-6.35923332028	2.08581168279e-10	2.19010226693e-08	0.001	0.105
20s vs. 20s	60s vs. 60s	-4.04375137763	5.30487784145e-05	0.00557012173352	0.002	0.210
20s vs. 20s	20s vs. 30s	-0.842755776352	0.399379928769	1	0.392	1.000
20s vs. 20s	20s vs. 40s	-3.40642913312	0.000660041399175	0.0693043469134	0.001	0.105
20s vs. 20s	20s vs. 50s	-8.5450618952	1.42010242144e-17	1.49110754251e-15	0.001	0.105
20s vs. 20s	20s vs. 60s	-8.01977540008	1.1733357352e-15	1.23200252196e-13	0.001	0.105
20s vs. 20s	30s vs. 40s	0.372111818571	0.709812349627	1	0.695	1.000
20s vs. 20s	30s vs. 50s	-4.43288646965	9.33348127652e-06	0.000980015534035	0.001	0.105
20s vs. 20s	30s vs. 60s	-4.02750814262	5.6573716424e-05	0.00594024022452	0.001	0.105
20s vs. 20s	40s vs. 50s	-3.6135592616	0.000302536232629	0.031766304426	0.001	0.105
20s vs. 20s	40s vs. 60s	-2.50043112275	0.0124117062207	1	0.013	1.000
20s vs. 20s	50s vs. 60s	-5.49026531115	4.06056582115e-08	4.26359411221e-06	0.001	0.105
30s vs. 30s	40s vs. 40s	-0.936030691043	0.349266050107	1	0.336	1.000
30s vs. 30s	50s vs. 50s	-12.6356901664	1.73053303262e-36	1.81705968425e-34	0.001	0.105
30s vs. 30s	60s vs. 60s	-7.05880840145	1.73728534144e-12	1.82414960852e-10	0.001	0.105
30s vs. 30s	20s vs. 30s	-2.96201529715	0.00305935943464	0.321232740637	0.002	0.210
30s vs. 30s	20s vs. 40s	-7.14766043386	9.07827707157e-13	9.53219092515e-11	0.001	0.105
30s vs. 30s	20s vs. 50s	-15.5992972069	1.37355042456e-54	1.44222794578e-52	0.001	0.105
30s vs. 30s	20s vs. 60s	-13.3102560197	2.96296536333e-40	3.11111363149e-38	0.001	0.105
30s vs. 30s	30s vs. 40s	-1.18000840271	0.238004108554	1	0.247	1.000
30s vs. 30s	30s vs. 50s	-10.3909432243	2.94750972941e-25	3.09488521588e-23	0.001	0.105
30s vs. 30s	30s vs. 60s	-9.008900448	2.19875400735e-19	2.30869170772e-17	0.001	0.105
30s vs. 30s	40s vs. 50s	-8.82707301578	1.11824565989e-18	1.17415794289e-16	0.001	0.105
30s vs. 30s	40s vs. 60s	-6.28979447773	3.22073907458e-10	3.38177602831e-08	0.001	0.105
30s vs. 30s	50s vs. 60s	-11.6873039826	1.72516077307e-31	1.81141881173e-29	0.001	0.105
40s vs. 40s	50s vs. 50s	-12.5605064665	4.42124518472e-36	4.64230744396e-34	0.001	0.105
40s vs. 40s	60s vs. 60s	-6.82764659744	8.87983210566e-12	9.32382371094e-10	0.001	0.105
40s vs. 40s	20s vs. 30s	-2.23262688978	0.0255825005977	1	0.021	1.000
40s vs. 40s	20s vs. 40s	-6.70442737829	2.06489657388e-11	2.16814140258e-09	0.001	0.105
40s vs. 40s	20s vs. 50s	-15.7862726737	7.25248443222e-56	7.61510865383e-54	0.001	0.105
40s vs. 40s	20s vs. 60s	-13.4939356287	2.50131511374e-41	2.62638086943e-39	0.001	0.105
40s vs. 40s	30s vs. 40s	-0.141211220625	0.887703797465	1	0.861	1.000
40s vs. 40s	30s vs. 50s	-9.923483104	3.50594370917e-23	3.68124089463e-21	0.001	0.105
40s vs. 40s	30s vs. 60s	-8.53718758694	1.43575517362e-17	1.5075429323e-15	0.001	0.105
40s vs. 40s	40s vs. 50s	-8.23846644029	1.7968212255e-16	1.88666228677e-14	0.001	0.105
40s vs. 40s	40s vs. 60s	-5.60979760519	2.04217226649e-08	2.14428087981e-06	0.001	0.105
40s vs. 40s	50s vs. 60s	-11.3912611994	5.28627213496e-30	5.55058574171e-28	0.001	0.105
50s vs. 50s	60s vs. 60s	3.8095850838	0.000139634806713	0.0146616547049	0.001	0.105
50s vs. 50s	20s vs. 30s	9.7515484868	2.00085762031e-22	2.10090050133e-20	0.001	0.105
50s vs. 50s	20s vs. 40s	5.88387730927	4.0602503395e-09	4.26326285647e-07	0.001	0.105
50s vs. 50s	20s vs. 50s	-2.8184588247	0.00482944107234	0.507091312596	0.007	0.735
50s vs. 50s	20s vs. 60s	-1.48668975389	0.137112002086	1	0.122	1.000
50s vs. 50s	30s vs. 40s	13.9988553297	2.03016055965e-44	2.13166858764e-42	0.001	0.105
50s vs. 50s	30s vs. 50s	4.25090949468	2.13409567482e-05	0.00224080045856	0.001	0.105
50s vs. 50s	30s vs. 60s	5.38143681868	7.44317882746e-08	7.81533776883e-06	0.001	0.105
50s vs. 50s	40s vs. 50s	6.30084242067	2.99177311583e-10	3.14136177162e-08	0.001	0.105
50s vs. 50s	40s vs. 60s	8.57685985026	1.01884134668e-17	1.06978341402e-15	0.001	0.105
50s vs. 50s	50s vs. 60s	2.59745242854	0.0093962568863	0.986606973061	0.011	1.000
60s vs. 60s	20s vs. 30s	4.70604851458	2.54489468048e-06	0.00026721394145	0.001	0.105
60s vs. 60s	20s vs. 40s	1.16182213822	0.245323134133	1	0.240	1.000
60s vs. 60s	20s vs. 50s	-6.47999857575	9.4151556476e-11	9.88591342998e-09	0.001	0.105
60s vs. 60s	20s vs. 60s	-5.28381157025	1.28365010371e-07	1.3478326089e-05	0.001	0.105
60s vs. 60s	30s vs. 40s	6.96160002804	3.42775804115e-12	3.5991459432e-10	0.001	0.105
