# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
February vs. February	October vs. October	0.88326222865	0.377347015727	1	0.361	1.000
February vs. February	March vs. March	-6.96172097074	5.01227463743e-12	1.50518607362e-08	0.001	1.000
February vs. February	August vs. August	-12.3224102095	1.02546845223e-33	3.07948176205e-30	0.001	1.000
February vs. February	May vs. May	-10.250671756	3.05165920494e-24	9.16413259243e-21	0.001	1.000
February vs. February	January vs. January	-2.19358211825	0.0283048840012	1	0.023	1.000
February vs. February	June vs. June	-11.769456555	1.099214505e-30	3.30094115852e-27	0.001	1.000
February vs. February	September vs. September	-11.8965433404	1.70294650186e-31	5.11394834508e-28	0.001	1.000
February vs. February	April vs. April	-5.80795484392	6.84472097163e-09	2.05546970778e-05	0.001	1.000
February vs. February	December vs. December	-4.27980970164	2.0095993131e-05	0.0603482673723	0.001	1.000
February vs. February	July vs. July	-5.64670438294	1.75576029777e-08	5.2725481742e-05	0.001	1.000
February vs. February	November vs. November	-5.9144409116	4.8996095908e-09	1.47135276012e-05	0.001	1.000
February vs. February	February vs. October	-2.38565733211	0.0171878024421	1	0.013	1.000
February vs. February	February vs. March	-4.87725163161	1.16583011002e-06	0.0035009878204	0.001	1.000
February vs. February	February vs. August	-8.63339870642	1.11332911516e-17	3.34332733281e-14	0.001	1.000
February vs. February	February vs. May	-8.01020378314	1.70264290792e-15	5.11303665248e-12	0.001	1.000
February vs. February	February vs. January	-2.27922014885	0.0227108853007	1	0.030	1.000
February vs. February	February vs. June	-8.50604731449	3.56420110298e-17	1.07032959122e-13	0.001	1.000
February vs. February	February vs. September	-8.59144329974	1.64374711062e-17	4.93617257319e-14	0.001	1.000
February vs. February	February vs. April	-5.44935005647	5.46407887208e-08	0.000164086288529	0.001	1.000
February vs. February	February vs. December	-4.32553523428	1.60826029044e-05	0.0482960565218	0.001	1.000
February vs. February	February vs. July	-5.56556493735	2.84299234873e-08	8.53750602322e-05	0.001	1.000
February vs. February	February vs. November	-6.41382424099	1.98217490783e-10	5.95247124821e-07	0.001	1.000
February vs. February	October vs. March	-5.51898973648	3.91977263363e-08	0.000117710772188	0.001	1.000
February vs. February	October vs. August	-8.03667205393	1.53955461197e-15	4.62328249973e-12	0.001	1.000
February vs. February	October vs. May	-8.21770140092	3.33774203276e-16	1.00232393244e-12	0.001	1.000
February vs. February	October vs. January	-1.74514196909	0.0810511692087	1	0.082	1.000
February vs. February	October vs. June	-8.11881061027	8.69864697377e-16	2.61220368622e-12	0.001	1.000
February vs. February	October vs. September	-7.75512212566	1.41239737115e-14	4.24142930557e-11	0.001	1.000
February vs. February	October vs. April	-5.5836242497	2.58505753037e-08	7.76292776369e-05	0.001	1.000
February vs. February	October vs. December	-2.42005802924	0.0156280582195	1	0.013	1.000
February vs. February	October vs. July	-4.17326500253	3.09550441359e-05	0.0929579975402	0.001	1.000
February vs. February	October vs. November	-3.18371723511	0.00149075296009	1	0.003	1.000
February vs. February	March vs. August	-11.7039645879	5.44414776024e-31	1.6348775724e-27	0.001	1.000
February vs. February	March vs. May	-10.0841902893	1.31060293728e-23	3.93574062064e-20	0.001	1.000
February vs. February	March vs. January	-6.6747458942	2.73223160075e-11	8.20489149704e-08	0.001	1.000
February vs. February	March vs. June	-10.7431085451	2.23786709222e-26	6.72031487792e-23	0.001	1.000
February vs. February	March vs. September	-11.5447826131	3.54332499434e-30	1.0640604958e-26	0.001	1.000
February vs. February	March vs. April	-7.14946077444	1.02128482448e-12	3.0669183279e-09	0.001	1.000
February vs. February	March vs. December	-8.43831309572	5.54562452405e-17	1.66535104457e-13	0.001	1.000
February vs. February	March vs. July	-9.10161762117	1.34037423239e-19	4.02514381987e-16	0.001	1.000
February vs. February	March vs. November	-9.35144310516	2.62159201461e-20	7.87264081987e-17	0.001	1.000
February vs. February	August vs. May	-12.5346045696	1.90253801233e-35	5.71332165103e-32	0.001	1.000
February vs. February	August vs. January	-10.7133132901	1.47985695091e-26	4.44401042359e-23	0.001	1.000
February vs. February	August vs. June	-12.3528818852	2.89614234529e-34	8.69711546291e-31	0.001	1.000
February vs. February	August vs. September	-12.4254076168	1.02401952204e-34	3.0751306247e-31	0.001	1.000
February vs. February	August vs. April	-11.3924878826	1.03349104854e-29	3.10357361878e-26	0.001	1.000
February vs. February	August vs. December	-10.4965226863	2.62702176862e-25	7.88894637116e-22	0.001	1.000
February vs. February	August vs. July	-10.0659818345	1.29143802705e-23	3.87818839524e-20	0.001	1.000
February vs. February	August vs. November	-11.5471080451	6.60887798758e-30	1.98464605967e-26	0.001	1.000
February vs. February	May vs. January	-10.1671304472	3.93903054718e-24	1.18289087332e-20	0.001	1.000
February vs. February	May vs. June	-11.4327416347	8.8758725496e-30	2.66542452664e-26	0.001	1.000
February vs. February	May vs. September	-12.5231448548	2.39220998073e-35	7.18380657213e-32	0.001	1.000
February vs. February	May vs. April	-9.14485134038	7.94835712652e-20	2.3868916451e-16	0.001	1.000
February vs. February	May vs. December	-10.7482776772	1.63385618314e-26	4.90647011798e-23	0.001	1.000
February vs. February	May vs. July	-10.8144398014	5.11624709468e-27	1.53640900253e-23	0.001	1.000
February vs. February	May vs. November	-11.471561013	1.11038864898e-29	3.33449711288e-26	0.001	1.000
February vs. February	January vs. June	-9.96590428662	3.41929996728e-23	1.02681578017e-19	0.001	1.000
February vs. February	January vs. September	-9.99406136555	2.46537455988e-23	7.40351980333e-20	0.001	1.000
February vs. February	January vs. April	-6.9172475493	4.91953524175e-12	1.4773364331e-08	0.001	1.000
February vs. February	January vs. December	-4.68343380797	2.90015793352e-06	0.00870917427435	0.001	1.000
February vs. February	January vs. July	-6.36606966295	2.03419833181e-10	6.10869759042e-07	0.001	1.000
February vs. February	January vs. November	-6.18923953074	6.79617242366e-10	2.04089057882e-06	0.001	1.000
February vs. February	June vs. September	-12.3748956004	2.49639388244e-34	7.49667082896e-31	0.001	1.000
February vs. February	June vs. April	-10.4970739563	1.8013042276e-25	5.40931659549e-22	0.001	1.000
February vs. February	June vs. December	-10.2837337061	2.65619298936e-24	7.97654754705e-21	0.001	1.000
February vs. February	June vs. July	-9.99452856502	2.87777396952e-23	8.64195523047e-20	0.001	1.000
February vs. February	June vs. November	-10.9127737669	7.33358583197e-27	2.20227582534e-23	0.001	1.000
February vs. February	September vs. April	-11.0293281548	5.95314876482e-28	1.78773057408e-24	0.001	1.000
February vs. February	September vs. December	-9.85318678732	1.61794282688e-22	4.85868230912e-19	0.001	1.000
February vs. February	September vs. July	-10.3102001224	1.14293876559e-24	3.43224511305e-21	0.001	1.000
February vs. February	September vs. November	-10.6735012131	7.24065898644e-26	2.17436989363e-22	0.001	1.000
February vs. February	April vs. December	-8.05004910308	1.0947655487e-15	3.28758094274e-12	0.001	1.000
