# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
8 or more hours vs. 8 or more hours	 vs. 	-0.629177705917	0.52926295413	1	0.540	1.000
8 or more hours vs. 8 or more hours	6-7 hours vs. 6-7 hours	-4.48603680589	7.28445364517e-06	0.000764867632743	0.001	0.105
8 or more hours vs. 8 or more hours	7-8 hours vs. 7-8 hours	-5.93528262973	2.95330895762e-09	3.1009744055e-07	0.001	0.105
8 or more hours vs. 8 or more hours	Less than 6 hours vs. Less than 6 hours	-10.217033506	2.60347688619e-24	2.7336507305e-22	0.001	0.105
8 or more hours vs. 8 or more hours	8 or more hours vs. 	-0.359801390441	0.719010723428	1	0.712	1.000
8 or more hours vs. 8 or more hours	8 or more hours vs. 6-7 hours	-2.27445840982	0.0229465124614	1	0.024	1.000
8 or more hours vs. 8 or more hours	8 or more hours vs. 7-8 hours	-2.92751347728	0.00341912268372	0.359007881791	0.003	0.315
8 or more hours vs. 8 or more hours	8 or more hours vs. Less than 6 hours	-12.1004482712	1.8042155882e-33	1.89442636761e-31	0.001	0.105
8 or more hours vs. 8 or more hours	 vs. 6-7 hours	-1.66198708831	0.0965733520852	1	0.094	1.000
8 or more hours vs. 8 or more hours	 vs. 7-8 hours	-2.76146633824	0.00577286742815	0.606151079955	0.003	0.315
8 or more hours vs. 8 or more hours	 vs. Less than 6 hours	-3.48826871577	0.00049042384564	0.0514945037922	0.003	0.315
8 or more hours vs. 8 or more hours	6-7 hours vs. 7-8 hours	-5.50981409481	3.6048708731e-08	3.78511441675e-06	0.001	0.105
8 or more hours vs. 8 or more hours	6-7 hours vs. Less than 6 hours	-13.4265701797	6.96727181063e-41	7.31563540116e-39	0.001	0.105
8 or more hours vs. 8 or more hours	7-8 hours vs. Less than 6 hours	-14.9572438203	2.57916639826e-50	2.70812471817e-48	0.001	0.105
 vs. 	6-7 hours vs. 6-7 hours	0.561984090414	0.574132183717	1	0.567	1.000
 vs. 	7-8 hours vs. 7-8 hours	0.491692800872	0.622939000123	1	0.599	1.000
 vs. 	Less than 6 hours vs. Less than 6 hours	0.114068408897	0.909200169456	1	0.921	1.000
 vs. 	8 or more hours vs. 	0.575130591428	0.565641366189	1	0.565	1.000
 vs. 	8 or more hours vs. 6-7 hours	0.595060452699	0.551809364733	1	0.564	1.000
 vs. 	8 or more hours vs. 7-8 hours	0.56064099666	0.575046627658	1	0.563	1.000
 vs. 	8 or more hours vs. Less than 6 hours	0.22101883699	0.825086451829	1	0.851	1.000
 vs. 	 vs. 6-7 hours	0.531552299584	0.595216327482	1	0.614	1.000
 vs. 	 vs. 7-8 hours	0.455898453147	0.648574342029	1	0.685	1.000
 vs. 	 vs. Less than 6 hours	0.150410550836	0.880630167367	1	0.892	1.000
 vs. 	6-7 hours vs. 7-8 hours	0.523707992674	0.600483454147	1	0.593	1.000
 vs. 	6-7 hours vs. Less than 6 hours	0.2680336407	0.788678208652	1	0.793	1.000
 vs. 	7-8 hours vs. Less than 6 hours	0.230586395135	0.817639144469	1	0.804	1.000
6-7 hours vs. 6-7 hours	7-8 hours vs. 7-8 hours	-2.84466998682	0.00444708643727	0.466944075913	0.006	0.630
6-7 hours vs. 6-7 hours	Less than 6 hours vs. Less than 6 hours	-9.42128842205	4.82827518629e-21	5.0696889456e-19	0.001	0.105
6-7 hours vs. 6-7 hours	8 or more hours vs. 	0.830404121627	0.406318615278	1	0.400	1.000
6-7 hours vs. 6-7 hours	8 or more hours vs. 6-7 hours	3.5344133932	0.00040909101718	0.0429545568038	0.002	0.210
6-7 hours vs. 6-7 hours	8 or more hours vs. 7-8 hours	2.53594022759	0.0112174525023	1	0.011	1.000
6-7 hours vs. 6-7 hours	8 or more hours vs. Less than 6 hours	-12.1940153859	4.05953590372e-34	4.2625126989e-32	0.001	0.105
6-7 hours vs. 6-7 hours	 vs. 6-7 hours	-0.0721168753437	0.942509490004	1	0.940	1.000
