# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
 vs. 	More than 30 vs. More than 30	1.39772313647	0.162245917295	1	0.162	1.000
 vs. 	6 to 10 vs. 6 to 10	-1.45487395392	0.145741570311	1	0.135	1.000
 vs. 	Less than 5 vs. Less than 5	-5.55989328138	3.67987385388e-08	7.72773509315e-06	0.001	0.210
 vs. 	11 to 20 vs. 11 to 20	-0.363656714745	0.716117152387	1	0.705	1.000
 vs. 	21 to 30 vs. 21 to 30	-0.738233136026	0.460390603984	1	0.451	1.000
 vs. 	 vs. More than 30	0.651324262222	0.514911240815	1	0.501	1.000
 vs. 	 vs. 6 to 10	-0.579503435588	0.562305625471	1	0.560	1.000
 vs. 	 vs. Less than 5	-3.70513779844	0.000226534130206	0.0475721673433	0.001	0.210
 vs. 	 vs. 11 to 20	-0.0512609077757	0.95912009778	1	0.960	1.000
 vs. 	 vs. 21 to 30	-0.450114409276	0.652667021297	1	0.662	1.000
 vs. 	More than 30 vs. 6 to 10	-0.315185949443	0.752625023378	1	0.726	1.000
 vs. 	More than 30 vs. Less than 5	-4.68584587634	2.87544480607e-06	0.000603843409275	0.001	0.210
 vs. 	More than 30 vs. 11 to 20	0.27997433813	0.779499401749	1	0.776	1.000
 vs. 	More than 30 vs. 21 to 30	0.171341692571	0.863957326833	1	0.857	1.000
 vs. 	6 to 10 vs. Less than 5	-4.80229045326	1.6152801515e-06	0.000339208831814	0.001	0.210
 vs. 	6 to 10 vs. 11 to 20	-0.865917653682	0.386542143898	1	0.370	1.000
 vs. 	6 to 10 vs. 21 to 30	-1.11227345274	0.266035395761	1	0.235	1.000
 vs. 	Less than 5 vs. 11 to 20	-4.24157315793	2.24223100735e-05	0.00470868511543	0.001	0.210
 vs. 	Less than 5 vs. 21 to 30	-4.42764645013	9.7189749284e-06	0.00204098473496	0.001	0.210
 vs. 	11 to 20 vs. 21 to 30	-0.539980544644	0.589214115687	1	0.570	1.000
More than 30 vs. More than 30	6 to 10 vs. 6 to 10	-14.5805954034	8.19575051866e-48	1.72110760892e-45	0.001	0.210
More than 30 vs. More than 30	Less than 5 vs. Less than 5	-16.0685694375	4.76552921179e-57	1.00076113448e-54	0.001	0.210
More than 30 vs. More than 30	11 to 20 vs. 11 to 20	-10.10064109	5.93820672966e-24	1.24702341323e-21	0.001	0.210
More than 30 vs. More than 30	21 to 30 vs. 21 to 30	-10.9245579132	1.10663330427e-27	2.32392993897e-25	0.001	0.210
More than 30 vs. More than 30	 vs. More than 30	-2.25192606337	0.0243539866733	1	0.026	1.000
More than 30 vs. More than 30	 vs. 6 to 10	-6.93594335364	4.33791018282e-12	9.10961138393e-10	0.001	0.210
More than 30 vs. More than 30	 vs. Less than 5	-11.8069085248	7.40184281639e-32	1.55438699144e-29	0.001	0.210
More than 30 vs. More than 30	 vs. 11 to 20	-5.95262506223	2.72658391865e-09	5.72582622917e-07	0.001	0.210
More than 30 vs. More than 30	 vs. 21 to 30	-6.60546173952	4.20183901203e-11	8.82386192527e-09	0.001	0.210
More than 30 vs. More than 30	More than 30 vs. 6 to 10	-9.56183936651	1.28392907317e-21	2.69625105366e-19	0.001	0.210
More than 30 vs. More than 30	More than 30 vs. Less than 5	-26.8215401258	3.39497360542e-153	7.12944457139e-151	0.001	0.210
More than 30 vs. More than 30	More than 30 vs. 11 to 20	-6.37773341613	1.82164296934e-10	3.8254502356e-08	0.001	0.210
More than 30 vs. More than 30	More than 30 vs. 21 to 30	-6.6123776413	3.87061203864e-11	8.12828528115e-09	0.001	0.210
More than 30 vs. More than 30	6 to 10 vs. Less than 5	-28.2915174139	5.70814689679e-170	1.19871084833e-167	0.001	0.210
More than 30 vs. More than 30	6 to 10 vs. 11 to 20	-13.476572079	2.69926543972e-41	5.66845742341e-39	0.001	0.210
More than 30 vs. More than 30	6 to 10 vs. 21 to 30	-14.2744650898	4.87091018089e-46	1.02289113799e-43	0.001	0.210
More than 30 vs. More than 30	Less than 5 vs. 11 to 20	-29.5494212361	1.66124400963e-186	3.48861242022e-184	0.001	0.210
More than 30 vs. More than 30	Less than 5 vs. 21 to 30	-27.3882001157	6.23599644216e-160	1.30955925285e-157	0.001	0.210
More than 30 vs. More than 30	11 to 20 vs. 21 to 30	-11.2996652914	1.46526989529e-29	3.0770667801e-27	0.001	0.210
6 to 10 vs. 6 to 10	Less than 5 vs. Less than 5	-9.5482923731	1.67020838761e-21	3.50743761398e-19	0.001	0.210
6 to 10 vs. 6 to 10	11 to 20 vs. 11 to 20	7.08181988365	1.44896452985e-12	3.04282551268e-10	0.001	0.210
6 to 10 vs. 6 to 10	21 to 30 vs. 21 to 30	3.68945641776	0.00022540151309	0.0473343177489	0.002	0.420
6 to 10 vs. 6 to 10	 vs. More than 30	7.19659337563	6.61077527643e-13	1.38826280805e-10	0.001	0.210
6 to 10 vs. 6 to 10	 vs. 6 to 10	3.07240649744	0.00212886807804	0.447062296389	0.005	1.000
6 to 10 vs. 6 to 10	 vs. Less than 5	-5.61956107474	1.97224636995e-08	4.1417173769e-06	0.001	0.210
