OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	60s_mean	30s_mean	70+_mean	40s_mean	child_mean	baby_mean	50s_mean	taxonomy
4457438	134.7848779	0.0	0.0	0.0	298.3	285.812834225	192.305405405	282.573849879	167.207142857	247.158018868	313.588235294	147.590163934	192.952488688	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
173876	94.8118319613	0.0	0.0	0.0	27.3333333333	68.7860962567	77.6837837838	104.617433414	91.8857142857	88.7712264151	120.205882353	43.4426229508	74.7669683258	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4483963	122.518592288	0.0	0.0	0.0	37.4333333333	80.5294117647	86.5972972973	98.5641646489	113.042857143	98.8160377358	20.1176470588	70.3442622951	107.334841629	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4448331	205.425361067	0.0	0.0	0.0	42.6666666667	130.64171123	186.02972973	92.9467312349	168.342857143	149.231132075	38.2352941176	119.081967213	100.50678733	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
3128077	97.2470323942	0.0	0.0	0.0	0.0333333333333	0.0106951871658	0.297297297297	0.750605326877	0.0	0.0990566037736	0.0	25.3442622951	0.153846153846	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__
4430952	741.284790133	0.0	0.0	0.0	251.766666667	28.1069518717	22.4918918919	9.20338983051	0.407142857143	2.09198113208	22.9411764706	12.6229508197	14.7013574661	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__
4385479	319.292165057	0.0	0.0	0.0	165.9	63.0106951872	2.55675675676	49.205811138	25.0357142857	7.71933962264	56.5294117647	54.9508196721	59.4253393665	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus; s__
76393	187.085368421	0.0	0.0	0.0	46.9	0.0	0.0027027027027	0.176755447942	0.0	1.15801886792	0.0	0.016393442623	0.89592760181	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
4470603	157.258945965	0.0	0.0	0.0	12.3333333333	10.4973262032	7.3	6.53026634383	7.4	6.97877358491	29.9411764706	73.2295081967	3.69683257919	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
955102	126.757133537	0.0	0.0	0.0	33.6666666667	0.213903743316	0.640540540541	0.418886198547	0.207142857143	0.193396226415	0.191176470588	0.131147540984	0.185520361991	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
839282	95.451998983	0.0	0.0	0.0	31.4	1.96256684492	1.7972972973	6.11138014528	0.257142857143	0.76179245283	0.632352941176	0.327868852459	1.3257918552	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__; s__
3562626	130.586401175	0.0	0.0	0.0	10.4333333333	26.6577540107	19.9756756757	34.3656174334	12.8785714286	17.7264150943	73.0	0.344262295082	26.2556561086	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4477861	233.374091064	0.0	0.0	0.0	8.36666666667	43.6951871658	117.77027027	68.0556900726	107.121428571	125.757075472	52.8088235294	34.0327868852	121.785067873	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1106101	120.046627254	0.0	0.0	0.0	0.0	0.0	0.0	0.506053268765	0.0	0.122641509434	0.0	29.737704918	0.00452488687783	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
4410166	119.814571587	0.0	0.0	0.0	14.6333333333	17.4385026738	45.0378378378	63.0484261501	12.5571428571	54.6768867925	10.2058823529	32.737704918	65.0226244344	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
4439606	159.949038545	0.0	0.0	0.0	3.86666666667	44.6631016043	5.38918918919	33.818401937	38.3714285714	19.6391509434	0.323529411765	57.9016393443	10.6764705882	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Morganella; s__
73000	137.541747842	0.0	0.0	0.0	0.0	0.0106951871658	0.0540540540541	0.0290556900726	0.142857142857	0.561320754717	0.0	34.131147541	0.027149321267	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__neonatale
505670	327.970360476	0.0	0.0	0.0	159.5	28.6844919786	14.9918918919	40.4794188862	22.2357142857	15.1391509434	26.9411764706	4.24590163934	15.7194570136	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__WAL_1855D; s__
548475	197.450512641	0.0	0.0	0.0	103.766666667	15.0855614973	91.8405405405	29.9491525424	59.0928571429	44.0896226415	43.0735294118	2.80327868852	38.963800905	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
4450877	134.777930237	0.0	0.0	0.0	0.0333333333333	0.294117647059	10.1702702703	9.7602905569	13.4357142857	16.5377358491	58.0147058824	20.6393442623	8.94570135747	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__
706432	164.479843315	0.0	0.0	0.0	0.0666666666667	0.00534759358289	6.25135135135	0.116222760291	0.00714285714286	0.266509433962	0.117647058824	40.2295081967	20.0588235294	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
192963	198.372614564	0.0	0.0	0.0	109.7	16.7967914439	36.7378378378	20.5399515738	22.5928571429	39.5188679245	103.985294118	29.6393442623	21.7058823529	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
1142029	224.592647197	0.0	0.0	0.0	10.1666666667	26.128342246	6.04324324324	20.8765133172	9.95714285714	9.62264150943	68.6029411765	95.7540983607	12.834841629	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
4468333	194.295872976	0.0	0.0	0.0	0.0	16.679144385	0.105405405405	0.106537530266	0.0285714285714	0.27358490566	0.0294117647059	47.1639344262	0.319004524887	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Sporosarcina; s__
4482374	117.712242553	0.0	0.0	0.0	0.0666666666667	3.67914438503	12.6459459459	23.5738498789	29.1428571429	11.2995283019	1.47058823529	42.868852459	5.78054298643	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__johnsonii
4428119	132.78599889	0.0	0.0	0.0	0.0	0.0909090909091	2.21081081081	3.12832929782	0.642857142857	2.71698113208	0.0735294117647	40.2131147541	2.0520361991	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__
520926	124.158246152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00235849056604	0.0	30.0983606557	0.149321266968	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__; s__
4479397	340.486084256	0.0	0.0	0.0	117.266666667	110.304812834	104.213513514	146.423728814	111.192857143	85.7075471698	301.955882353	296.475409836	85.7737556561	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__fragilis
4436552	165.491966776	0.0	0.0	0.0	43.9	156.486631016	91.2081081081	129.627118644	64.2928571429	126.299528302	70.2352941176	55.7213114754	165.36199095	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
4462432	111.862826916	0.0	0.0	0.0	8.3	54.192513369	13.7945945946	28.5714285714	14.3785714286	36.8136792453	8.30882352941	60.8524590164	14.9389140271	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
335772	180.752384455	0.0	0.0	0.0	0.0	0.00534759358289	0.0108108108108	0.00242130750605	0.00714285714286	0.0	0.0	42.8196721311	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
4347159	709.084373796	0.0	0.0	0.0	75.9666666667	56.8823529412	31.9135135135	70.0992736077	24.85	50.8537735849	141.25	374.590163934	41.463800905	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis
4306262	182.558075133	0.0	0.0	0.0	192.333333333	127.834224599	152.245945946	70.7263922518	225.035714286	103.094339623	94.5147058824	237.180327869	159.841628959	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
4449055	120.513262613	0.0	0.0	0.0	19.2333333333	73.4759358289	32.1621621622	56.4261501211	23.2142857143	33.5400943396	40.5588235294	2.34426229508	58.4954751131	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__plebeius
4365130	178.615972221	0.0	0.0	0.0	345.466666667	122.673796791	148.818918919	142.043583535	199.664285714	144.787735849	167.867647059	222.180327869	150.325791855	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis
4480244	161.505925526	0.0	0.0	0.0	125.233333333	61.679144385	45.4432432432	51.9782082324	57.5071428571	54.233490566	177.352941176	76.7868852459	66.4660633484	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
61102	102.303227379	0.0	0.0	0.0	0.0	6.88235294118	18.9216216216	2.62953995157	33.5	0.219339622642	2.92647058824	1.16393442623	10.3891402715	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__citronellolis
4399109	152.141174328	0.0	0.0	0.0	0.233333333333	21.2673796791	29.5	9.200968523	14.7642857143	4.31839622642	0.117647058824	0.0655737704918	46.8076923077	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
4008562	115.04605259	0.0	0.0	0.0	0.266666666667	0.176470588235	6.45405405405	0.731234866828	3.82142857143	6.97169811321	0.176470588235	38.9508196721	9.72171945701	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
4415338	135.64388472	0.0	0.0	0.0	0.1	0.55614973262	30.2054054054	33.2082324455	38.1428571429	37.2617924528	39.2058823529	48.6885245902	14.3054298643	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
4454507	600.5757833	0.0	0.0	0.0	252.366666667	13.0855614973	19.3081081081	32.2130750605	10.7571428571	22.0212264151	17.0	44.4426229508	18.8235294118	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae; g__Listeria; s__weihenstephanensis
3232397	141.545374557	0.0	0.0	0.0	3.1	62.9839572193	8.62972972973	37.8280871671	25.5571428571	0.882075471698	21.4264705882	14.5409836066	10.4660633484	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
4454839	117.771680876	0.0	0.0	0.0	44.7333333333	19.2994652406	37.7135135135	58.0556900726	49.9357142857	39.6297169811	0.544117647059	12.9672131148	18.3891402715	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__radicincitans
4475758	167.510999526	0.0	0.0	0.0	35.7	2.5935828877	1.45675675676	2.9200968523	1.48571428571	0.827830188679	1.66176470588	42.6393442623	1.81221719457	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__dispar
138179	181.669290415	0.0	0.0	0.0	67.4666666667	3.7486631016	7.71081081081	3.37288135593	3.4	3.70990566038	15.2058823529	0.803278688525	3.31674208145	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__
4326870	127.104108372	0.0	0.0	0.0	0.1	59.6844919786	11.3108108108	19.4576271186	29.5	30.6863207547	2.57352941176	16.2786885246	24.778280543	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
189083	91.7225966206	2.22044604925e-16	5.20434759118e-14	2.44604336785e-12	6.2	76.6631016043	41.1459459459	64.1888619855	30.0642857143	49.3325471698	28.0294117647	46.5409836066	48.242081448	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
4389275	89.3851208872	6.66133814775e-16	1.52877710491e-13	7.33813010356e-12	0.0	0.0	0.0	0.00242130750605	0.0	0.0	0.0147058823529	21.9344262295	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__
4415322	86.9182170096	1.99840144433e-15	4.49273271647e-13	2.20143903107e-11	0.0	0.0106951871658	0.00540540540541	0.00242130750605	0.0142857142857	22.4504716981	0.0	0.295081967213	4.97963800905	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__
1115794	86.657028651	2.22044604925e-15	4.89208673571e-13	2.44604336785e-11	0.0	0.0427807486631	6.31891891892	0.0944309927361	0.0142857142857	22.1132075472	0.191176470588	0.0	0.0158371040724	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__
