OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	60s_mean	30s_mean	70+_mean	40s_mean	child_mean	baby_mean	50s_mean	taxonomy
4434334	115.614370816	2.66182280152e-21	2.93226399815e-17	2.93226399815e-17	18.6	12.0909090909	13.1027027027	10.7021791768	15.8642857143	10.6650943396	43.1617647059	14.0491803279	13.1900452489	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
4465746	105.873892106	2.67754881655e-19	1.47479388816e-15	2.94958777631e-15	3.2	2.85026737968	5.80540540541	3.45036319613	5.66428571429	3.06603773585	18.7941176471	5.08196721311	2.53167420814	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__SMB53; s__
1142029	98.6183578458	8.17725235224e-18	3.00268706374e-14	9.00806119122e-14	10.1666666667	26.128342246	6.04324324324	20.8765133172	9.95714285714	9.62264150943	68.6029411765	95.7540983607	12.834841629	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
3195723	94.1853919613	6.55479118326e-17	1.80518949187e-13	7.22075796748e-13	0.566666666667	1.22459893048	4.44324324324	1.67796610169	4.67142857143	2.67452830189	1.29411764706	1.6393442623	4.23076923077	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
4347159	87.6567759742	1.38911608731e-15	3.06050056356e-12	1.53025028178e-11	75.9666666667	56.8823529412	31.9135135135	70.0992736077	24.85	50.8537735849	141.25	374.590163934	41.463800905	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis
2307779	86.0548959751	2.93168858883e-15	5.38258024908e-12	3.22954814945e-11	0.666666666667	3.19786096257	6.6	4.00726392252	6.61428571429	4.30660377358	0.558823529412	1.90163934426	6.32126696833	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
180468	77.1129377228	1.85988248129e-13	2.92692363055e-10	2.04884654139e-09	2.2	5.05347593583	8.39459459459	5.83535108959	8.48571428571	6.30896226415	2.86764705882	4.75409836066	7.09954751131	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
4366089	68.8233681349	8.4244441147e-12	1.16004595459e-08	9.28036763676e-08	2.23333333333	4.1871657754	7.6027027027	3.42372881356	4.16428571429	5.17452830189	0.955882352941	1.75409836066	6.0407239819	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
248902	68.0111066822	1.22156775729e-11	1.49519893493e-08	1.34567904143e-07	11.2	8.06951871658	6.93513513514	8.50363196126	10.7071428571	12.0566037736	20.5882352941	7.88524590164	6.88461538462	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__
4454432	66.5417138907	2.39003075177e-11	2.63285787615e-08	2.63285787615e-07	11.3333333333	5.03743315508	15.2081081081	10.5786924939	25.0214285714	10.8702830189	47.8382352941	25.5573770492	7.74208144796	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
4356062	62.9000354299	1.2536759781e-10	1.2554995068e-07	1.38104945748e-06	3.83333333333	2.61497326203	7.54054054054	3.50363196126	5.04285714286	4.91509433962	0.852941176471	2.68852459016	6.89819004525	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
1102370	62.4384947868	1.54570718608e-10	1.41895919682e-07	1.70275103618e-06	0.0	2.52406417112	6.30540540541	2.84987893462	8.15	4.27358490566	0.470588235294	0.967213114754	5.59954751131	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4326866	60.3910271815	3.90611944519e-10	3.30998552371e-07	4.30298118082e-06	0.7	3.60427807487	9.48108108108	4.25181598063	10.0785714286	7.12028301887	2.83823529412	0.27868852459	7.47285067873	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4481624	58.0278141801	1.13425976003e-09	8.84366733287e-07	1.24950055164e-05	3.53333333333	1.12834224599	3.68648648649	2.36319612591	4.12142857143	3.43632075472	13.5294117647	14.4098360656	2.49095022624	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
813479	57.8948657448	1.2042030682e-09	8.84366733287e-07	1.32655009993e-05	0.833333333333	1.17112299465	0.664864864865	1.25907990315	0.678571428571	0.872641509434	2.76470588235	3.55737704918	0.735294117647	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
