OTU	Test-Statistic	P	FDR_P	Bonferroni_P	February_mean	October_mean	March_mean	August_mean	September_mean	January_mean	June_mean	April_mean	May_mean	December_mean	November_mean	July_mean	taxonomy
4295238	127.832494671	4.77630661036e-22	5.26157936198e-18	5.26157936198e-18	0.0135135135135	0.181818181818	0.0	0.0	0.0	0.0446428571429	0.0	0.0	0.0	0.243902439024	0.1	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__
186578	111.919296381	7.57380663271e-19	4.1716526933e-15	8.3433053866e-15	0.0540540540541	0.0	0.0	0.0	0.0	0.348214285714	0.0	0.0151515151515	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
4431355	102.026423587	7.08275831624e-17	2.60078885372e-13	7.80236656117e-13	0.216216216216	0.69696969697	0.388349514563	0.813559322034	4.25	0.357142857143	0.776119402985	0.257575757576	0.0560747663551	0.731707317073	0.933333333333	0.663366336634	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__; s__
308502	96.0769414037	1.06459971808e-15	2.9319076236e-12	1.17276304944e-11	0.162162162162	0.0	0.00970873786408	0.0	0.0	0.232142857143	0.0298507462687	0.0378787878788	0.373831775701	0.0487804878049	0.0333333333333	0.00990099009901	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
4446058	87.7704191687	4.5526363866e-14	1.00303684869e-10	5.01518424347e-10	0.783783783784	3.24242424242	10.213592233	8.81355932203	46.0833333333	4.63392857143	11.0447761194	12.5	26.1028037383	6.12195121951	3.53333333333	33.3267326733	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__aureus
4454839	87.213472584	5.8487378858e-14	1.07382827583e-10	6.442969655e-10	8.5	180.424242424	2.28155339806	18.3220338983	12.5666666667	3.83928571429	16.552238806	16.8863636364	85.1214953271	3.17073170732	6.33333333333	13.9900990099	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__radicincitans
4410166	83.8503071466	2.64490780517e-13	4.16232919739e-10	2.91363043817e-09	107.783783784	51.1212121212	69.8155339806	54.3728813559	39.1333333333	103.482142857	18.8955223881	86.3939393939	47.953271028	126.536585366	135.566666667	93.9603960396	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
184013	82.9396187989	3.97524900718e-13	5.47391788289e-10	4.37913430631e-09	0.378378378378	0.030303030303	0.708737864078	0.169491525424	0.05	0.0535714285714	0.208955223881	1.21212121212	0.411214953271	0.0487804878049	0.566666666667	0.148514851485	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
4422512	80.9589074244	9.62619155685e-13	1.17824584656e-09	1.0604212619e-08	0.0	0.151515151515	0.0	0.0	0.116666666667	0.0	0.0	0.0	0.0	0.0	0.1	0.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__
4412168	80.7019435091	1.0794529454e-12	1.18912536465e-09	1.18912536465e-08	5.28378378378	6.27272727273	5.33009708738	4.03389830508	3.83333333333	7.48214285714	3.89552238806	4.91666666667	2.68224299065	10.9268292683	4.33333333333	3.13861386139	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
