OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Rarely (few times/month)_mean	Occasionally (1-2 times/week)_mean	Never_mean	Regularly (3-5 times/week)_mean	Daily_mean	taxonomy
4356131	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__Methylotenera; s__mobilis
1682179	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
175333	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
197329	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.176470588235	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
286945	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__
110549	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__; g__; s__
357312	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
180092	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.117647058824	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
13760	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.176470588235	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Thermoanaerobacterium; s__saccharolyticum
176654	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.588235294118	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
546777	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__; g__; s__
