OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean	taxonomy
4436552	67.9274379352	2.22044604925e-16	2.44604336785e-12	2.44604336785e-12	243.82195122	94.6747787611	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
4410166	36.8017752543	1.30771116158e-09	7.20287307798e-06	1.4405746156e-05	110.190243902	37.8384955752	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
192963	31.240189522	2.2799676036e-08	8.37204104043e-05	0.000251161231213	7.69756097561	47.1327433628	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
548475	29.0751472413	6.96244419895e-08	0.000191745713239	0.000766982852957	23.7243902439	76.4734513274	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
4478125	14.9802361566	0.000108643103126	0.239362484807	1.0	286.826829268	201.475663717	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
4008562	13.832344436	0.000199865845408	0.366953692169	1.0	17.7414634146	2.07522123894	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
4307093	13.4672107279	0.0002427689458	0.382048958133	1.0	13.1536585366	0.637168141593	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__
4480861	13.0671973898	0.000300512445988	0.413805638125	1.0	24.1585365854	5.19469026549	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium; s__
4306262	12.5425638147	0.000397786139815	0.483456513674	1.0	87.5048780488	140.831858407	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
4450877	12.2754685554	0.000458951413006	0.483456513674	1.0	1.51951219512	14.9115044248	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__
4482598	12.1811283821	0.000482754325564	0.483456513674	1.0	0.390243902439	11.2389380531	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
4457438	11.7714465055	0.00060146221019	0.552142308955	1.0	286.795121951	210.404867257	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4468234	11.5205053593	0.000688326747321	0.583277496038	1.0	1044.15121951	1205.07300885	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4360511	11.1621776489	0.000834818735738	0.656883085206	1.0	0.258536585366	9.92699115044	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__
4264281	10.9647679142	0.000928605764498	0.681968073447	1.0	0.00243902439024	8.4092920354	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiopsaceae; g__Prauseria; s__
8523	10.4969726656	0.00119570289102	0.823241440468	1.0	8.2756097561	0.0287610619469	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
4447072	9.64571793253	0.00189793502999	1.0	1.0	368.792682927	458.037610619	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4450795	9.03344724607	0.00265084120864	1.0	1.0	6.54146341463	22.4026548673	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
4457554	8.56321974944	0.00343022231375	1.0	1.0	7.41707317073	0.132743362832	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Mycoplana; s__
4441357	7.32156739694	0.00681319662875	1.0	1.0	10.2609756098	1.38938053097	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__
710275	7.22757373253	0.00717921700262	1.0	1.0	2.84390243902	13.4004424779	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
4468333	7.16203849051	0.00744625255502	1.0	1.0	7.79512195122	0.530973451327	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Sporosarcina; s__
194597	7.08983769315	0.00775222677477	1.0	1.0	9.01463414634	24.185840708	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
731422	6.97407417329	0.00826989967897	1.0	1.0	19.7365853659	6.4203539823	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium; s__
291725	6.76124096458	0.00931589528505	1.0	1.0	7.6756097561	0.599557522124	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
274087	6.69053515087	0.009692610516	1.0	1.0	6.8512195122	0.356194690265	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Rummeliibacillus; s__
505670	6.66933656102	0.00980856940066	1.0	1.0	36.6829268293	17.7433628319	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__WAL_1855D; s__
3235048	6.56565690482	0.0103965354449	1.0	1.0	27.5829268293	11.6615044248	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
177679	6.48502590171	0.0108786953855	1.0	1.0	11.5487804878	2.31194690265	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
4326870	6.34179917839	0.0117925207377	1.0	1.0	39.6536585366	20.2566371681	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
4434579	6.33425899801	0.0118427584108	1.0	1.0	23.0512195122	8.94911504425	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
4385479	6.13687481663	0.0132391095878	1.0	1.0	9.43170731707	1.49778761062	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus; s__
3778553	6.10689160137	0.0134655747598	1.0	1.0	4.85853658537	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
2211108	5.57389809505	0.0182301327419	1.0	1.0	1.35609756098	8.5796460177	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__diminuta
932077	5.46708104963	0.0193779642653	1.0	1.0	0.343902439024	5.83407079646	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa
4405146	5.32712272587	0.0209960192742	1.0	1.0	5.29756097561	15.7809734513	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4402903	5.23132174854	0.0221836685474	1.0	1.0	14.3829268293	29.4579646018	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4432796	5.11853558346	0.0236715847168	1.0	1.0	16.1658536585	31.767699115	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava
319621	5.11274698163	0.0237506865484	1.0	1.0	16.6780487805	32.4690265487	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
2233608	5.06471702395	0.0244176915837	1.0	1.0	6.00731707317	0.511061946903	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
4402605	4.73647711347	0.029529480711	1.0	1.0	3.89268292683	12.6482300885	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
360000	4.66898172606	0.0307121317443	1.0	1.0	4.90243902439	0.254424778761	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4417805	4.62798607731	0.0314544645258	1.0	1.0	4.35853658537	0.112831858407	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
52166	4.60094276567	0.0319543796534	1.0	1.0	4.0	0.037610619469	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera; s__
4447105	4.5972714198	0.0320228835515	1.0	1.0	2.87317073171	10.6592920354	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Zoogloea; s__
137183	4.58059510945	0.0323359827472	1.0	1.0	0.0682926829268	4.13274336283	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__
581814	4.54545378324	0.0330062723561	1.0	1.0	0.0512195121951	4.02654867257	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
520657	4.48565592567	0.0341804277358	1.0	1.0	10.6682926829	2.94690265487	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__stercorea
3565293	4.28581190578	0.038431723282	1.0	1.0	5.7487804878	15.1548672566	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
157579	4.22360400384	0.0398654001769	1.0	1.0	0.00487804878049	3.52654867257	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
3409358	4.04752755514	0.0442360886246	1.0	1.0	55.4048780488	78.685840708	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
4448331	3.96979839612	0.0463233182445	1.0	1.0	89.4	118.088495575	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
4484010	3.86698869289	0.0492448012476	1.0	1.0	1.26341463415	6.73451327434	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
1135084	3.84660508767	0.0498467896314	1.0	1.0	6.48048780488	15.6747787611	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4441345	3.82445470208	0.0505097808344	1.0	1.0	3.3512195122	0.0243362831858	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
48084	3.76235157231	0.0524188088992	1.0	1.0	42.8268292683	26.6725663717	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
841635	3.74613881732	0.0529296474435	1.0	1.0	17.3243902439	7.67699115044	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
4414420	3.71183123322	0.0540280850731	1.0	1.0	49.5512195122	32.1504424779	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__eggerthii
4470260	3.63130699124	0.0567022709762	1.0	1.0	1.18048780488	6.32522123894	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__
129798	3.63046940496	0.0567308137278	1.0	1.0	0.0341463414634	3.25663716814	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners
300310	3.54819712716	0.0596101851725	1.0	1.0	2.98780487805	0.0	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__
214860	3.43525194335	0.0638188506875	1.0	1.0	0.00243902439024	2.92699115044	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
4378332	3.42434671489	0.0642416555818	1.0	1.0	3.77804878049	0.216814159292	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
