OTU	Test-Statistic	P	FDR_P	Bonferroni_P	8 or more hours_mean	7-8 hours_mean	6-7 hours_mean	5-6 hours_mean	Less than 5 hours_mean	taxonomy
288680	113.375	1.38679821979e-23	1.38881538084e-20	1.52769691892e-19	0.0	0.0	0.0	0.0	0.125	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
227000	113.375	1.38679821979e-23	1.38881538084e-20	1.52769691892e-19	0.0	0.0	0.0	0.0	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Shuttleworthia; s__
19636	113.375	1.38679821979e-23	1.38881538084e-20	1.52769691892e-19	0.0	0.0	0.0	0.0	0.125	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__oligotropha
805968	113.375	1.38679821979e-23	1.38881538084e-20	1.52769691892e-19	0.0	0.0	0.0	0.0	0.125	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__; g__; s__
294352	113.375	1.38679821979e-23	1.38881538084e-20	1.52769691892e-19	0.0	0.0	0.0	0.0	0.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Epulopiscium; s__
4368271	113.375	1.38679821979e-23	1.38881538084e-20	1.52769691892e-19	0.0	0.0	0.0	0.0	0.125	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__
833816	113.375	1.38679821979e-23	1.38881538084e-20	1.52769691892e-19	0.0	0.0	0.0	0.0	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
622303	113.375	1.38679821979e-23	1.38881538084e-20	1.52769691892e-19	0.0	0.0	0.0	0.0	0.375	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
1122588	113.375	1.38679821979e-23	1.38881538084e-20	1.52769691892e-19	0.0	0.0	0.0	0.0	0.125	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Acaricomes; s__phytoseiuli
530928	113.375	1.38679821979e-23	1.38881538084e-20	1.52769691892e-19	0.0	0.0	0.0	0.0	0.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
715492	113.375	1.38679821979e-23	1.38881538084e-20	1.52769691892e-19	0.0	0.0	0.0	0.0	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
65682	56.3623042268	1.68338548416e-11	1.42647496104e-08	1.85441744935e-07	0.0	0.00243309002433	0.0	0.0	0.125	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__
705337	56.3623042268	1.68338548416e-11	1.42647496104e-08	1.85441744935e-07	0.0	0.00243309002433	0.0	0.0	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
278059	52.6688204887	9.99587127835e-11	7.86532271445e-08	1.10114518002e-06	0.0	0.0	0.0	0.0285714285714	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4301192	40.4022134736	3.5737926258e-08	2.59830661093e-05	0.000393688995658	0.0	0.00243309002433	0.0	0.0285714285714	0.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
886735	40.2878678103	3.77386581109e-08	2.59830661093e-05	0.00041572905775	0.0	0.00729927007299	0.0439189189189	0.1	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Alloiococcus; s__
3297757	38.1769079214	1.03023497826e-07	6.30503806694e-05	0.00113490685205	0.0	0.00486618004866	0.0	0.0	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
11427	38.1769079214	1.03023497826e-07	6.30503806694e-05	0.00113490685205	0.0	0.00486618004866	0.0	0.0	0.125	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Blastococcus; s__aggregatus
213717	38.016442843	1.11184132203e-07	6.44633894918e-05	0.00122480440034	0.0	0.0535279805353	0.0	0.0	0.125	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
315200	36.9784134283	1.81984211494e-07	0.000100236903691	0.00200473807381	0.0	0.00243309002433	0.00337837837838	0.0	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
310957	28.6737579361	9.10562093545e-06	0.00470137284866	0.100307520225	0.00769230769231	0.00486618004866	0.0	0.0	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4379525	28.5148653534	9.80747307969e-06	0.00470137284866	0.108039123446	0.0	0.00243309002433	0.00675675675676	0.0	3.375	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Kurthia; s__
260554	28.3345373229	1.06694191373e-05	0.00470137284866	0.117534321217	0.0	0.00243309002433	0.00675675675676	0.0	0.125	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
325483	28.3345373229	1.06694191373e-05	0.00470137284866	0.117534321217	0.0	0.00243309002433	0.00675675675676	0.0	0.125	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__OM60; g__; s__
