# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
20s vs. 20s	30s vs. 30s	-4.10204794942	4.1097597203e-05	0.00431524770631	0.001	0.105
20s vs. 20s	40s vs. 40s	-5.04205684941	4.64070523159e-07	4.87274049317e-05	0.001	0.105
20s vs. 20s	50s vs. 50s	-11.2705543924	2.18584592905e-29	2.2951382255e-27	0.001	0.105
20s vs. 20s	60s vs. 60s	-10.4922164664	1.17580819427e-25	1.23459860398e-23	0.001	0.105
20s vs. 20s	20s vs. 30s	-3.30277668567	0.000959007363633	0.100695773181	0.002	0.210
20s vs. 20s	20s vs. 40s	-5.86866299487	4.46150052758e-09	4.68457555395e-07	0.001	0.105
20s vs. 20s	20s vs. 50s	-10.6347243317	2.40667978027e-26	2.52701376928e-24	0.001	0.105
20s vs. 20s	20s vs. 60s	-12.9644083732	3.06535904421e-38	3.21862699642e-36	0.001	0.105
20s vs. 20s	30s vs. 40s	-5.01937137242	5.20544668371e-07	5.4657190179e-05	0.001	0.105
20s vs. 20s	30s vs. 50s	-9.18920141213	4.13327362939e-20	4.33993731086e-18	0.001	0.105
20s vs. 20s	30s vs. 60s	-10.7457200578	6.92385568043e-27	7.27004846445e-25	0.001	0.105
20s vs. 20s	40s vs. 50s	-8.75082637189	2.19367337584e-18	2.30335704463e-16	0.001	0.105
20s vs. 20s	40s vs. 60s	-9.45215037555	3.54074981889e-21	3.71778730983e-19	0.001	0.105
20s vs. 20s	50s vs. 60s	-11.8560431034	2.34239210438e-32	2.4595117096e-30	0.001	0.105
30s vs. 30s	40s vs. 40s	-0.815831674809	0.414601550772	1	0.425	1.000
30s vs. 30s	50s vs. 50s	-13.0567089425	7.04867915777e-39	7.40111311566e-37	0.001	0.105
30s vs. 30s	60s vs. 60s	-8.81196471639	1.29804482536e-18	1.36294706663e-16	0.001	0.105
30s vs. 30s	20s vs. 30s	1.68189469285	0.0925982005356	1	0.099	1.000
30s vs. 30s	20s vs. 40s	-2.24264724993	0.0249257563553	1	0.034	1.000
30s vs. 30s	20s vs. 50s	-10.7178037811	9.22953142916e-27	9.69100800062e-25	0.001	0.105
30s vs. 30s	20s vs. 60s	-12.626792825	1.85318043647e-36	1.9458394583e-34	0.001	0.105
30s vs. 30s	30s vs. 40s	-1.09673520614	0.272761832048	1	0.270	1.000
30s vs. 30s	30s vs. 50s	-9.85470062291	6.8231811562e-23	7.16434021401e-21	0.001	0.105
30s vs. 30s	30s vs. 60s	-11.3278883234	1.04559018386e-29	1.09786969305e-27	0.001	0.105
30s vs. 30s	40s vs. 50s	-8.55177686559	1.24123716054e-17	1.30329901857e-15	0.001	0.105
30s vs. 30s	40s vs. 60s	-8.35805138411	6.5504843126e-17	6.87800852823e-15	0.001	0.105
30s vs. 30s	50s vs. 60s	-13.8217235257	2.29438875745e-43	2.40910819532e-41	0.001	0.105
40s vs. 40s	50s vs. 50s	-13.0934471917	4.34055555004e-39	4.55758332754e-37	0.001	0.105
40s vs. 40s	60s vs. 60s	-8.88066778347	7.01676215192e-19	7.36760025951e-17	0.001	0.105
40s vs. 40s	20s vs. 30s	2.63139251927	0.00850722946378	0.893259093697	0.011	1.000
40s vs. 40s	20s vs. 40s	-1.57302037106	0.115722877233	1	0.105	1.000
40s vs. 40s	20s vs. 50s	-10.6834702173	1.33265824772e-26	1.39929116011e-24	0.001	0.105
40s vs. 40s	20s vs. 60s	-12.9431719553	3.21759669509e-38	3.37847652984e-36	0.001	0.105
40s vs. 40s	30s vs. 40s	-0.190974937406	0.848545905126	1	0.853	1.000
40s vs. 40s	30s vs. 50s	-9.43317261348	4.12054147317e-21	4.32656854683e-19	0.001	0.105
40s vs. 40s	30s vs. 60s	-11.1097986269	1.22105484478e-28	1.28210758702e-26	0.001	0.105
40s vs. 40s	40s vs. 50s	-8.04441359349	8.82713059226e-16	9.26848712187e-14	0.001	0.105
40s vs. 40s	40s vs. 60s	-7.93800908654	2.09946351165e-15	2.20443668723e-13	0.001	0.105
40s vs. 40s	50s vs. 60s	-13.738932577	7.16732159307e-43	7.52568767273e-41	0.001	0.105
50s vs. 50s	60s vs. 60s	2.67997807438	0.00736675730126	0.773509516633	0.007	0.735
50s vs. 50s	20s vs. 30s	14.6549018618	0.0	0.0	0.001	0.105
50s vs. 50s	20s vs. 40s	11.0835996688	0.0	0.0	0.001	0.105
50s vs. 50s	20s vs. 50s	2.40073480834	0.0163671467081	1	0.018	1.000
50s vs. 50s	20s vs. 60s	-0.234217958543	0.814817283133	1	0.803	1.000
50s vs. 50s	30s vs. 40s	14.7657174358	0.0	0.0	0.001	0.105
50s vs. 50s	30s vs. 50s	5.24899619791	1.5346623039e-07	1.6113954191e-05	0.001	0.105
50s vs. 50s	30s vs. 60s	3.69589288887	0.000219363467775	0.0230331641164	0.001	0.105
