OTU	Test-Statistic	P	FDR_P	Bonferroni_P	20s_mean	30s_mean	40s_mean	50s_mean	60s_mean	taxonomy
230607	151.673998795	0.0	0.0	0.0	0.0941176470588	40.7046632124	69.5532994924	5.52763819095	63.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Rhodoferax; s__
706432	136.428082083	0.0	0.0	0.0	0.0117647058824	0.160621761658	0.00507614213198	44.3115577889	0.119718309859	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
4468333	103.899382461	0.0	0.0	0.0	36.2823529412	0.176165803109	0.558375634518	0.608040201005	0.0140845070423	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Sporosarcina; s__
264552	82.7696240498	0.0	0.0	0.0	82.8941176471	16.3626943005	35.4162436548	20.6281407035	13.6549295775	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
4361528	141.576862769	0.0	0.0	0.0	0.105882352941	9.61139896373	0.106598984772	52.9698492462	0.133802816901	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
3232397	111.387624453	0.0	0.0	0.0	57.6588235294	13.896373057	1.37055837563	19.6934673367	0.647887323944	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
4454068	74.9280448088	2.10942374679e-15	3.18281908765e-12	2.22797336136e-11	0.164705882353	0.948186528497	0.187817258883	30.7336683417	10.9225352113	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__
584176	74.4858426811	2.55351295664e-15	3.371275481e-12	2.6970203848e-11	20.4705882353	0.626943005181	0.92385786802	28.9095477387	0.676056338028	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__rhizosphaerae
284014	72.1118035026	8.10462807976e-15	9.51123130872e-12	8.56010817785e-11	54.2	4.62694300518	6.62436548223	30.7788944724	31.8732394366	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
4415322	71.5046261717	1.08801856413e-14	1.14916520744e-11	1.14916520744e-10	0.0117647058824	0.0	22.1065989848	17.8492462312	0.0140845070423	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__
